,xterm,libVTE,Linux console,Putty,SecureCRT
device status,\e[0n,\e[0n,\e[0n,\e[0n,\e[0n
printer status,\e[?15n,\e[?11n,-,-,\e[?10n
device attributes,\e[?1;2c,\e[?62;9;c,\e[?6c,\e[?6c,\e[?1;2c
secondary device attributes,\e[>0;271;0c,\e[>1;2600;0c,[+1],\e[>0;136;0c,[+1]
tertiary device attributes,-,-,[+1],-,[+1]
terminal parameters,\e[2;1;1;128;128;1;0x,-,-,\e[2;1;1;112;112;1;0x,\e[2;1;1;120;120;1;0x
ENQ (enquiry character),-,[+3],-,PUTTY,-
,,,,,
? extended cursor position,Y,Y,N,N,N
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
legend:,-,not supported,,,
,[+2],not supported;  the terminal supports it so badly that N number of characters are displayed,,,
